heff,s
0.30750081331599655,0.465
0.30419368589862733,0.466
0.3009085332757322,0.467
0.29764507905783844,0.468
0.2944033579714707,0.469
0.2911830299435932,0.47
0.2879840584002173,0.471
0.28480611247567167,0.472
0.2816585369158436,0.473
0.2785708812971798,0.474
0.27550351133680345,0.475
0.27247542828954624,0.476
0.26949817560598033,0.477
0.26654038219408904,0.478
0.2636018970231034,0.479
0.2606825704707543,0.48
0.25778225430780055,0.481
0.25490080168275303,0.482
0.25203806710679266,0.483
0.24919390643887854,0.484
0.24636809690095343,0.485
0.24358617892306147,0.486
0.24084437538094783,0.487
0.23812014167416928,0.488
0.23545321887780105,0.489
0.23281456129830697,0.49
0.23019272438661337,0.491
0.2275877906505301,0.492
0.2249994554980961,0.493
0.22242766580613135,0.494
0.2198723653568306,0.495
0.21733326002467296,0.496
0.214810359481092,0.497
0.21230710951407947,0.498
0.20985498221713367,0.499
0.2074184315476383,0.5
0.2050118039681477,0.501
0.20264031361700044,0.502
0.20028378878306916,0.503
0.19794211790580823,0.504
0.19561519042250214,0.505
0.19330292694678453,0.506
0.1910051009325133,0.507
0.18872175085338153,0.508
0.18645271167806102,0.509
0.18419782281723282,0.51
0.18199686601052162,0.511
0.1798165970851498,0.512
0.17766099131227028,0.513
0.1755526835308977,0.514
0.1734574608606412,0.515
0.17137527760328244,0.516
0.16930593805514163,0.517
0.16724942796274128,0.518
0.16520559600544604,0.519
0.16317437886024955,0.52
0.1611556849162473,0.521
0.1591494233599388,0.522
0.1571909272432262,0.523
0.15524874380144615,0.524
0.15333342589071844,0.525
0.15145852225407497,0.526
0.14959502580102527,0.527
0.1477429391885731,0.528
0.14590211016765958,0.529
0.14407247379067498,0.53
0.14225400283780637,0.531
0.14044653818258152,0.532
0.13865007948454158,0.533
0.1368725056576259,0.534
0.13513665539298986,0.535
0.13341132577028122,0.536
0.13172383593715511,0.537
0.13005639248867912,0.538
0.12839897345344545,0.539
0.1267515081282262,0.54
0.1251139264070382,0.541
0.12348615877520834,0.542
0.12186813630350658,0.543
0.12025981728699403,0.544
0.11866108057601113,0.545
0.11710259747549147,0.546
0.11556078464905649,0.547
0.11404355391438543,0.548
0.11255799377151286,0.549
0.11108123602846082,0.55
0.10961319104811261,0.551
0.10815382988744388,0.552
0.10670308785030852,0.553
0.10526093503582044,0.554
0.10382725755542319,0.555
0.10240202444251637,0.556
0.10101018961642717,0.557
0.09963682689964133,0.558
0.09828463129472176,0.559
0.09696171056528749,0.56
0.09564651940034316,0.561
0.09433900502137521,0.562
0.09303914018312477,0.563
0.09174682268363771,0.564
0.09046202620540968,0.565
0.08918469966991445,0.566
0.08791479241349591,0.567
0.08668140048566728,0.568
0.0854581527021246,0.569
0.08426281220557508,0.57
0.08308581306709106,0.571
0.08191564199552714,0.572
0.0807521884767812,0.573
0.07959544694579336,0.574
0.0784453335617423,0.575
0.07730179935042755,0.576
0.07616486679403338,0.577
0.07504742645542634,0.578
0.0739568420305296,0.579
0.07287880098676881,0.58
0.07183354441057176,0.581
0.0707942354406594,0.582
0.06976083466601855,0.583
0.0687333029877953,0.584
0.06771162509402795,0.585
0.06669571547615703,0.586
0.06568555950250263,0.587
0.06468605219615359,0.588
0.06371579585470663,0.589
0.0627520671116505,0.59
0.061821534606998935,0.591
0.060896240959722084,0.592
0.05997613419870744,0.593
0.05906119858068649,0.594
0.05815138192815843,0.595
0.05724664702865419,0.596
0.05634699691204949,0.597
0.055459198334426724,0.598
0.0545996816364795,0.599
0.05374965694154912,0.6
0.05293033812937397,0.601
0.05211554473292472,0.602
0.05130526990241894,0.603
0.05049948455484806,0.604
0.04969818196466807,0.605
0.04890128916199505,0.606
0.04810879992676429,0.607
0.047334806542064886,0.608
0.046575657164236096,0.609
0.045833273339310907,0.61
0.04510468205998893,0.611
0.04438009759974387,0.612
0.0436594629200263,0.613
0.04294278686042665,0.614
0.04223003232401519,0.615
0.04152116192787185,0.616
0.04081996065225485,0.617
0.04014270003441278,0.618
0.03947373176754733,0.619
0.03882752431633464,0.62
0.0381848024208159,0.621
0.037545586393858014,0.622
0.036909833172629324,0.623
0.03627752105838494,0.624
0.03564862851462203,0.625
0.035023113322186245,0.626
0.034424275050169456,0.627
0.03383065170517891,0.628
0.03326516216092765,0.629
0.032702693400127825,0.63
0.032143240306961134,0.631
0.031586798212057204,0.632
0.03103332059344707,0.633
0.03048279676905809,0.634
0.029936521796039686,0.635
0.029411297342928338,0.636
0.028892454301476255,0.637
0.02838968950106152,0.638
0.027889574959432416,0.639
0.027392134553985644,0.64
0.026897337246229613,0.641
0.026405156029661002,0.642
0.02591558037251414,0.643
0.025435612462468563,0.644
0.024971287927960134,0.645
0.024519565572290125,0.646
0.024078931483049404,0.647
0.023640588833713616,0.648
0.023204572227775975,0.649
0.022770823830067063,0.65
0.022339368862937654,0.651
0.021910169785757858,0.652
0.021498754555202018,0.653
0.021093670272661347,0.654
0.02071026954958352,0.655
0.020328859726157455,0.656
0.019949436721944262,0.657
0.019572000022137204,0.658
0.019196503511676215,0.659
0.018822960307831076,0.66
0.0184594947108577,0.661
0.01810407618607454,0.662
0.017761676813349676,0.663
0.017423112711061534,0.664
0.01708629479842185,0.665
0.01675120897922741,0.666
0.016417848721893766,0.667
0.016086197107106046,0.668
0.015763641730631075,0.669
0.015451737017898272,0.67
0.015152114081044936,0.671
0.014857135188685157,0.672
0.014563664439118407,0.673
0.014271689421314925,0.674
0.01398120297735034,0.675
0.013692194884945937,0.676
0.013410298370446702,0.677
0.013134735356805583,0.678
0.012872175061329613,0.679
0.012612647396750498,0.68
0.012354431920535104,0.681
0.012097519730030653,0.682
0.011841906833618193,0.683
0.011587582129538669,0.684
0.011343865722871134,0.685
0.011105974483673252,0.686
0.010879003585136564,0.687
0.010653171135452742,0.688
0.01042847057561667,0.689
0.010204895391633786,0.69
0.009982435618697067,0.691
0.009762756370551955,0.692
0.009553852295659282,0.693
0.009352486928579935,0.694
0.00915709955875015,0.695
0.0089626833324411,0.696
0.008769232385714965,0.697
0.00857674160812885,0.698
0.008385203642280547,0.699
0.008201638077122542,0.7
0.008023504005736877,0.701
0.007854518176427181,0.702
0.007686363429722204,0.703
0.007519038453208586,0.704
0.007352536868630867,0.705
0.007186852346379991,0.706
0.007024564560389276,0.707
0.006866821834280855,0.708
0.0067158267714035914,0.709
0.006566288682695613,0.71
0.006417478812344272,0.711
0.006269398555447978,0.712
0.00612203942994037,0.713
0.005977361395550119,0.714
0.005840426400296494,0.715
0.005709941310802565,0.716
0.005582111094080983,0.717
0.0054548996118480506,0.718
0.005328305227908771,0.719
0.005202321139004877,0.72
0.005078082986205067,0.721
0.004959385948796506,0.722
0.004846452941800891,0.723
0.004736018082857879,0.724
0.00462611353989384,0.725
0.004516738771148748,0.726
0.004407887664295058,0.727
0.004300909483327998,0.728
0.004198027636236013,0.729
0.0040997671691356714,0.73
0.0040027322620453465,0.731
0.003906162158477684,0.732
0.0038100505689001264,0.733
0.003714399347200661,0.734
0.003621958359555834,0.735
0.0035335436122505516,0.736
0.003450470533516551,0.737
0.003367791683815765,0.738
0.003285503866758534,0.739
0.0032036075419450403,0.74
0.0031220964981390426,0.741
0.0030442074842041335,0.742
0.002969492505426014,0.743
0.0028979384427579927,0.744
0.0028267193854261286,0.745
0.002755836584479838,0.746
0.0026852867089842995,0.747
0.0026158435277438778,0.748
0.002549788967695009,0.749
0.0024874058763715633,0.75
0.002425904916778411,0.751
0.0023646895254593524,0.752
0.0023037608354419484,0.753
0.0022431165189333033,0.754
0.0021850665816542025,0.755
0.0021292636395594464,0.756
0.002075339273157337,0.757
0.002021664704912161,0.758
0.001968240404893074,0.759
0.0019150623783519265,0.76
0.0018631925524090036,0.761
0.0018137277064220183,0.762
0.001767500607736263,0.763
0.001721485259230494,0.764
0.0016756814979224347,0.765
0.001630088469066799,0.766
0.001584854486733401,0.767
0.0015421931878178232,0.768
0.001501935245023707,0.769
0.00146250240564956,0.77
0.0014232488160840118,0.771
0.0013841750477270591,0.772
0.0013452798759524037,0.773
0.0013085698342917532,0.774
0.0012736695710412825,0.775
0.0012397850256608393,0.776
0.0012060542519681358,0.777
0.001172476657435871,0.778
0.0011390513951858952,0.779
0.001107287085021035,0.78
0.001077167853617078,0.781
0.0010481084651359563,0.782
0.0010191801108481097,0.783
0.000990382395068504,0.784
0.0009617145063177554,0.785
0.0009344699354526364,0.786
0.0009086956214672639,0.787
0.0008838345327070844,0.788
0.0008590846878062356,0.789
0.0008344460329346979,0.79
0.000809917740941322,0.791
0.0007866343207773965,0.792
0.0007645901808628819,0.793
0.0007431800236093141,0.794
0.0007218655325962529,0.795
0.000700645846252316,0.796
0.0006795205269282313,0.797
0.0006597692608847785,0.798
0.0006412025462368789,0.799
0.0006230019342755017,0.8
0.0006048820119198632,0.801
0.0005868420735665103,0.802
0.0005690823593756842,0.803
0.0005522944316182945,0.804
0.0005366181602402918,0.805
0.0005210108609111314,0.806
0.0005054723929562832,0.807
0.0004900021468957288,0.808
0.000475080631328614,0.809
0.00046108100214295006,0.81
0.0004477960783614251,0.811
0.0004345693600677849,0.812
0.0004214003661362726,0.813
0.0004082890697588376,0.814
0.00039591990171971,0.815
0.00038426101018024375,0.816
0.000372838334772373,0.817
0.00036146518116495944,0.818
0.0003501416565636785,0.819
0.00033907426414100846,0.82
0.00032865893867507355,0.821
0.00031883811460408295,0.822
0.00030905975187043455,0.823
0.0002993236831686852,0.824
0.00028962970026381873,0.825
0.000280481112124599,0.826
0.00027198427222389524,0.827
0.00026370703425816,0.828
0.0002554653995818842,0.829
0.0002472590681133395,0.83
0.00023929252376730906,0.831
0.00023181654333746218,0.832
0.00022467393322274338,0.833
0.0002175617634614814,0.834
0.00021048010860638965,0.835
0.0002034481115120415,0.836
0.0001968789794244636,0.837
0.00019077486679879892,0.838
0.00018470041539130468,0.839
0.00017865183028327138,0.84
0.00017262894163459858,0.841
0.00016692337604771608,0.842
0.000161666944990429,0.843
0.00015656623261606922,0.844
0.00015148710321892156,0.845
0.00014642945290203971,0.846
0.00014155293977337888,0.847
0.00013698362904862425,0.848
0.00013257236382875395,0.849
0.00012817979275191684,0.85
0.0001238055708901893,0.851
0.00011955919086025147,0.852
0.00011563094869018585,0.853
0.0001118992962606534,0.854
0.00010818326124463891,0.855
0.00010448280732524362,0.856
0.00010084342812507488,0.857
9.742510356506273e-05,0.858
9.420858962963383e-05,0.859
9.100547226263088e-05,0.86
8.781572154791697e-05,0.861
8.467880112297875e-05,0.862
8.177939571480967e-05,0.863
7.905561062509645e-05,0.864
7.634311271222829e-05,0.865
